Town,Restriction Type,Total Estimated length (m),Total Estimated spaces
Longcombe,No Waiting At Any Time,65,11
Lower Lovacott,Keep Clear Marking (Advisory),26,4
Lympstone,Limited Waiting,41,8
Lympstone,No Waiting At Any Time,3307,586
Lynmouth,Disabled Parking,19,2
Lynmouth,Limited Waiting,370,73
Lynmouth,Loading Only,12,1
Lynmouth,No Loading At Any Time,88,15
Lynmouth,No Waiting,746,134
Lynmouth,No Waiting At Any Time,1752,308
Lynton,Clearway route,377,68
Lynton,Disabled Parking,10,1
Lynton,Limited Waiting,300,57
Lynton,No Loading At Any Time,35,6
Lynton,No Waiting,935,162
Lynton,No Waiting At Any Time,2573,450
Lynton,Taxi Bay,11,2
Malborough,Keep Clear Marking (TRO),26,4
Malborough,No Waiting At Any Time,829,144
Marldon,Bus Stop Clearway,50,3
Marldon,Disabled Parking,7,1
Marldon,Keep Clear Marking (TRO),63,10
Marldon,No Waiting At Any Time,807,137
Marldon,Residents Permit Parking,20,3
Merton,No Waiting At Any Time,12,2
Modbury,Bus Stop Clearway,14,1
Modbury,Disabled Parking,7,1
Modbury,Keep Clear Marking (TRO),95,15
Modbury,Limited Waiting,74,15
Modbury,No Loading At Any Time,55,8
Modbury,No Waiting At Any Time,2083,365
Monkleigh,Keep Clear Marking (TRO),25,4
Moorhaven,No Waiting At Any Time,35,6
Moretonhampstead,Disabled Parking,7,1
Moretonhampstead,Keep Clear Marking (TRO),31,5
Moretonhampstead,Limited Waiting,169,31
Moretonhampstead,Loading Only,18,1
Moretonhampstead,No Loading,14,3
Moretonhampstead,No Loading At Any Time,168,30
Moretonhampstead,No Waiting,34,6
Moretonhampstead,No Waiting At Any Time,2903,514
Mortehoe,Clearway route,496,90
Mortehoe,Limited Waiting,12,2
Mortehoe,No Waiting,992,178
Mortehoe,No Waiting At Any Time,804,143
Muddlebridge,Bus Stop Clearway,151,11
Musbury,No Waiting At Any Time,50,8
Newton Abbot,Bus Stop Clearway,551,37
Newton Abbot,Disabled Parking,131,16
Newton Abbot,Disabled Parking (Advisory),17,2
