Business_Name,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Town,County,Post_Code,UPRN,Zone Description,Blocked,Car Free,Standard Residential,Standard Visitor,Essential Visitor,Resident Barnstaple K1,Standard Business,Charity Business,Guesthouse
,7 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295776,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,23 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295793,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,14 Parkside House,Courtenay Street,,,Salcombe,,TQ8 8DG,100040295811,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,Garden Flat,6 Courtenay Street,,,Salcombe,,TQ8 8DQ,10004744969,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,3 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295773,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,16 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295787,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,21 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295791,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,24 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100041041100,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,25a Courtenay Street,,,,Salcombe,,TQ8 8DQ,100041202325,Salcombe,-,-,No,No,No,No,No,No,No
,Parkside House,Courtenay Street,,,,,TQ8 8DG,100041234177,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,14a Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295784,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,5 Parkside House,Courtenay Street,,,Salcombe,,TQ8 8DG,100040295802,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,6 Parkside House,Courtenay Street,,,Salcombe,,TQ8 8DG,100040295803,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,8 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295777,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,22 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295792,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,25 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295794,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,Rockhaven,Courtenay Street,,,Salcombe,,TQ8 8DQ,10004748020,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,25b Courtenay Street,,,,Salcombe,,TQ8 8DQ,100041202620,Salcombe,-,-,No,No,No,No,No,No,No
,3 Croft Road,,,,Salcombe,,TQ8 8DZ,100040295815,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,Jilmar,Croft Road,,,Salcombe,,TQ8 8DZ,100040295822,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,2 Croft View Terrace,,,,Salcombe,,TQ8 8DL,100040296208,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,1 Croft View Terrace,,,,Salcombe,,TQ8 8DL,100040296207,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,1 Croft Road,,,,Salcombe,,TQ8 8DZ,100040295813,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,9 Croft Road,,,,Salcombe,,TQ8 8DZ,100040295821,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,8 Croft Road,,,,Salcombe,,TQ8 8DZ,100040295820,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,2 Croft Road,,,,Salcombe,,TQ8 8DZ,100040295814,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,4 Croft Road,,,,Salcombe,,TQ8 8DZ,100040295816,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,6 Croft Road,,,,Salcombe,,TQ8 8DZ,100040295818,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,Mudlark,7 Croft Road,,,,,TQ8 8DZ,100040295819,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,7 Croft View Terrace,,,,Salcombe,,TQ8 8DL,100040296212,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,6 Croft View Terrace,,,,Salcombe,,TQ8 8DL,100040296211,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,5 Croft Road,,,,Salcombe,,TQ8 8DZ,100040295817,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,5 Croft View Terrace,,,,Salcombe,,TQ8 8DL,100040296210,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,The Sail Loft,Croft Road,,,Salcombe,,TQ8 8DX,100041041201,Salcombe,Yes,-,No,No,No,No,No,No,No
,3 Croft View Terrace,,,,Salcombe,,TQ8 8DL,100041041168,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,4 Croft View Terrace,,,,Salcombe,,TQ8 8DL,100040296209,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,Cranford,16 Coronation Road,,,Salcombe,,TQ8 8EA,100040295729,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,Garston,Coronation Road,,,Salcombe,,TQ8 8EA,100040295736,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,Loughrigg,Coronation Road,,,Salcombe,,TQ8 8EA,100040295744,Salcombe,-,-,No,No,No,No,No,No,No
,Trafalgar House,19 Coronation Road,,,Salcombe,,TQ8 8EA,100041202508,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,Flat 2,Fairway,Coronation Road,,Salcombe,,TQ8 8EA,10009311599,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,12 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295782,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,18 Courtenay Street,,,,Salcombe,,TQ8 8DQ,100040295789,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,Park Cottage,Courtenay Street,,,Salcombe,,TQ8 8DQ,100040295796,Salcombe,-,-,Yes,No,Yes,No,No,No,No
,S H D C Car Park,Gould Road,,,,,TQ8 8DU,100041041160,Salcombe,-,-,No,No,No,No,No,No,No
,Shadycombe Creek Toilets,Gould Road,,,,,,10009314748,Salcombe,Yes,-,No,No,No,No,No,No,No
Dm Fabrications,The Workshop,Gould Road,,,,,TQ8 8DU,10023929352,Salcombe,-,-,No,No,No,No,No,No,No
,14 Highwell Road,,,,Seaton,,EX12 2RR,100040191079,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,6 Highwell Road,,,,Seaton,,EX12 2RR,100040191071,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,10 Highwell Road,,,,Seaton,,EX12 2RR,100040191075,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,11 Highwell Road,,,,Seaton,,EX12 2RR,100040191076,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,7 Highwell Road,,,,Seaton,,EX12 2RR,100040191072,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,16 Highwell Road,,,,Seaton,,EX12 2RR,100040191081,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,17 Highwell Road,,,,Seaton,,EX12 2RR,100040191082,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,12 Highwell Road,,,,Seaton,,EX12 2RR,100040191077,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,13 Highwell Road,,,,Seaton,,EX12 2RR,100040191078,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,18 Highwell Road,,,,Seaton,,EX12 2RR,100040191083,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,9 Highwell Road,,,,Seaton,,EX12 2RR,100040191074,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,4 Highwell Road,,,,Seaton,,EX12 2RR,100040191069,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,5 Highwell Road,,,,Seaton,,EX12 2RR,100040191070,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,19 Highwell Road,,,,Seaton,,EX12 2RR,100040191084,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,1 Highwell Road,,,,Seaton,,EX12 2RR,100040191066,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,8 Highwell Road,,,,Seaton,,EX12 2RR,100040191073,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,15 Highwell Road,,,,Seaton,,EX12 2RR,100040191080,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,Springfield Cottage,York Road,,,Seaton,,EX12 2SA,10023100983,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,11 York Road,,,,Seaton,,EX12 2SA,100040192966,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,5 York Road,,,,Seaton,,EX12 2SA,100040192960,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,2 York Road,,,,Seaton,,EX12 2SA,100040192957,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,8 York Road,,,,Seaton,,EX12 2SA,100040192963,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,Springfield House,York Road,,,Seaton,,EX12 2SA,10023102922,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,4 York Road,,,,Seaton,,EX12 2SA,100040192959,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,12 York Road,,,,Seaton,,EX12 2SA,100040192967,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,7 York Road,,,,Seaton,,EX12 2SA,100040192962,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,10 York Road,,,,Seaton,,EX12 2SA,100040192965,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,9 York Road,,,,Seaton,,EX12 2SA,100040192964,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,3 York Road,,,,Seaton,,EX12 2SA,100040192958,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,14 York Road,,,,Seaton,,EX12 2SA,100040192969,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,6 York Road,,,,Seaton,,EX12 2SA,100040192961,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,13 York Road,,,,Seaton,,EX12 2SA,100040192968,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,2 Highwell Road,,,,Seaton,,EX12 2RR,100040191067,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,3 Highwell Road,,,,Seaton,,EX12 2RR,100040191068,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,20 Highwell Road,,,,Seaton,,EX12 2RR,100040191085,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,1 York Road,,,,Seaton,,EX12 2SA,100040192956,Seaton A,-,-,Yes,Yes,Yes,No,No,No,No
,Springfield,York Road,,,Seaton,,EX12 2SA,100040192970,Seaton A,Yes,-,No,No,No,No,No,No,No
,4 Fortfield Terrace,,,,Sidmouth,,EX10 8NT,100040195422,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,10 Fortfield Terrace,,,,Sidmouth,,EX10 8NT,100041043750,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,5 Fortfield Terrace,,,,Sidmouth,,EX10 8NT,100040195425,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,12 Fortfield Terrace,,,,Sidmouth,,EX10 8NT,100040195442,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Lower Ground Floor Flat,1 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100041125577,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 2,7 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195431,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,9 Fortfield Terrace,,,,Sidmouth,,EX10 8NT,100040195440,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 1,8 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195435,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 2,8 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195436,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,5b Fortfield Terrace,,,,Sidmouth,,EX10 8NT,100040195424,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Lower Ground Flat,4 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100041125817,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 2,3 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195418,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Garden Flat,2 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195416,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 3,7 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195432,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 5,8 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195439,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 1,6 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195426,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,The Maisonette,St Davids,Fortfield Terrace,,Sidmouth,,EX10 8NT,10023104121,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 4,6 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195429,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 4,8 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195438,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Garden Flat,7 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100041125802,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,8 Fortfield Terrace,,,,,,,100041223991,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Courtyard Basement Flat,St Davids,Fortfield Terrace,,Sidmouth,,EX10 8NT,10000273932,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 1,7 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195430,Sidmouth A*,Yes,-,No,No,No,No,No,No,No
,Flat 3,8 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195437,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,2 Fortfield Terrace,,,,,,,100041223986,Sidmouth A*,Yes,-,No,No,No,No,No,No,No
,Flat 1,3 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195417,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,St Davids,Fortfield Terrace,,,,,,100041223985,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Sidmouth Cricket Tennis Croquet And Hockey Club,Fortfield Terrace,,,Sidmouth,,EX10 8NT,10000273797,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 3,6 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195428,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,11 Fortfield Terrace,,,,Sidmouth,,EX10 8NT,100040195441,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,3 St Davids,Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195443,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,5a Fortfield Terrace,,,,Sidmouth,,EX10 8NT,100041125578,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,1 Fortfield Terrace,,,,Sidmouth,,EX10 8NT,100040195412,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 2,2 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195414,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Garden Flat,3 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195421,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,3 Fortfield Terrace,,,,,,,100041223987,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,7 Fortfield Terrace,,,,,,,100041223990,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 2,6 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195427,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Patio Flat,4 Fortfield Terrace,,,Sidmouth,,EX10 8NT,10000273946,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 3,2 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195415,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 3,3 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195419,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 4,7 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195433,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 5,7 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195434,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 1,2 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195413,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Flat 4,3 Fortfield Terrace,,,Sidmouth,,EX10 8NT,100040195420,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,6 Fortfield Terrace,,,,,,,100041223988,Sidmouth A*,-,-,Yes,No,No,No,No,No,No
,Kelvin,12 Millford Road,,,Sidmouth,,EX10 8DR,10000273791,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Little Grove,10 Millford Road,,,Sidmouth,,EX10 8DR,10000273879,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Sunnyfield,11 Millford Road,,,Sidmouth,,EX10 8DR,10000273794,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Elmby Maisonette,15 Millford Road,,,Sidmouth,,EX10 8DR,10023104491,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Brierley,9 Millford Road,,,Sidmouth,,EX10 8DR,10000273788,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Westdene,2 Millford Road,,,Sidmouth,,EX10 8DR,10000273795,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Brookside,14 Millford Road,,,Sidmouth,,EX10 8DR,10000273878,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Millbank,4 Millford Road,,,Sidmouth,,EX10 8DR,10000273792,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Stonehayes,5 Millford Road,,,Sidmouth,,EX10 8DR,10000273793,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Woodside,6 Millford Road,,,Sidmouth,,EX10 8DR,10000273880,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Belvoir,13 Millford Road,,,Sidmouth,,EX10 8DR,10000273787,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Willow Bridge,1 Millford Road,,,Sidmouth,,EX10 8DR,10000273833,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Flintcot,8 Millford Road,,,Sidmouth,,EX10 8DR,10000273923,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Ashcroft,3 Millford Road,,,Sidmouth,,EX10 8DR,10000273786,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Carlton,7 Millford Road,,,Sidmouth,,EX10 8DR,10000273789,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,Elmby,15 Millford Road,,,Sidmouth,,EX10 8DR,10000273790,Sidmouth B*,-,-,Yes,No,No,No,No,No,No
,A J Mountstephen,County House,New Street,,Sidmouth,,EX10 8AP,10000273779,Sidmouth B*,-,-,No,No,No,No,No,No,No
,R M Chalice And Son,2 Vicarage Road,,,Sidmouth,,EX10 8TS,10000273778,Sidmouth B*,-,-,No,No,No,No,No,No,No
,Garden House,Road From Smokey Cross To Moorland Hotel,,,Newton Abbot,,TQ13 9XT,10032954455,Stover Country Park Season Ticket,-,-,No,No,No,No,No,No,No
,Ats Ltd,2 Parkwood Road,,,Tavistock,,PL19 0HQ,10001325411,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Courtenay House,Kelly College,Parkwood Road,,Tavistock,,PL19 0HX,10001325798,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Ccf Centre,Kelly College,Parkwood Road,,Tavistock,,PL19 0HZ,10001330953,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Ground Floor Flat,51 Parkwood Road,,,Tavistock,,PL19 0HH,10001331471,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,36 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399772,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,11a Parkwood Road,,,,Tavistock,,PL19 0HG,100040399749,Tavistock Old Exeter Road,Yes,-,No,No,No,No,No,No,No
,47 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399783,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,61 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399797,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,64 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399800,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,5 Parkwood Road,,,,Tavistock,,PL19 0HG,100040399646,Tavistock Old Exeter Road,-,-,Yes,No,Yes,No,No,No,No
,9 Parkwood Road,,,,Tavistock,,PL19 0HG,100040399747,Tavistock Old Exeter Road,-,-,Yes,No,Yes,No,No,No,No
,10 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399748,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,48 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399784,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,62 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399798,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,63 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399799,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,10 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155232,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,11 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155233,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,80 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399815,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,12 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155234,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,31 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155302,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,32 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155303,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,4 Parkwood Road,,,,Tavistock,,PL19 0HQ,10001325422,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Newton House,Kelly College,Parkwood Road,,Tavistock,,PL19 0HY,10001325799,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Wisteria Cottage,40 Parkwood Road,,,Tavistock,,PL19 0HH,100040399776,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,42 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399778,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,49 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399785,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,78 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399813,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Wilminstone Cottage,Parkwood Road,,,Tavistock,,PL19 0JS,100040399823,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,2 Parkwood Road,,,,Tavistock,,PL19 0HQ,100040399825,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,15 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399753,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,43 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399779,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,57 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399793,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,68 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399804,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,38 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399774,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,53 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399789,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,72 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399808,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,6 Parkwood Road,,,,Tavistock,,PL19 0HG,100040399829,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,26 Parkwood Road,,,,Tavistock,,PL19 0HH,100041039900,Tavistock Old Exeter Road,Yes,-,No,No,No,No,No,No,No
,22 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155243,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Trout N Tipple,Parkwood Road,,,Tavistock,,PL19 0JS,100040399822,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,4 Brooklands House,Parkwood Road,,,Tavistock,,PL19 0HP,100041155210,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,17 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155238,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,35 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155306,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Brooklands House,Parkwood Road,,,,,PL19 0HP,100041239392,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Sports Ground,Kelly College,Parkwood Road,,Tavistock,,PL19 0HZ,10013751377,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Tower Court,17a Parkwood Road,,,Tavistock,,PL19 0HH,10013752521,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Flat 1 Newton Mews,Kelly College,Parkwood Road,,Tavistock,,PL19 0HY,10001330958,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,25 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399762,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,35 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399771,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,60 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399796,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,65 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399801,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,4 Edmund Park,Parkwood Road,,,Tavistock,,PL19 0HH,100040399834,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,24 Parkwood Road,,,,Tavistock,,PL19 0HH,100041155166,Tavistock Old Exeter Road,Yes,-,No,No,No,No,No,No,No
,3 Brooklands House,Parkwood Road,,,Tavistock,,PL19 0HP,100041155209,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,25 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155246,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,36 Parkwood Court,Parkwood Road,,,Tavistock,,PL19 0RH,100041155307,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,School House,Kelly College,Parkwood Road,,Tavistock,,PL19 0HJ,100041155347,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,Marwood House,Kelly College,Parkwood Road,,Tavistock,,PL19 0JA,10001330954,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
,20 Parkwood Road,,,,Tavistock,,PL19 0HH,100040399758,Tavistock Old Exeter Road,-,-,No,No,No,No,No,No,No
