Business_Name,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Town,County,Post_Code,UPRN,Zone Description,Blocked,Car Free,Standard Residential,Standard Visitor,Essential Visitor,Resident Barnstaple K1,Standard Business,Charity Business,Guesthouse
,Ridgeway,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254862,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Elmfield,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254859,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,South Bank,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254863,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,Longstone House,Under Minnow Road,,Barnstaple,,EX31 1QU,100041136068,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Flat A,Longstone,Under Minnow Road,,Barnstaple,,EX31 1QU,100040254868,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Flat C,Longstone,Under Minnow Road,,Barnstaple,,EX31 1QU,100040254870,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Hanworth,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254860,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Dakrood,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254858,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,The Orchard,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254865,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,1 Lake Almshouses,Under Minnow Road,,,Barnstaple,,EX31 1QU,100040254866,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Flat B,Longstone,Under Minnow Road,,Barnstaple,,EX31 1QU,100040254869,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,1 Abbey Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,100040244398,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
